,lat,lon,mask
769,-88.1151809692383,241.25,False
770,-88.1151809692383,242.5,False
771,-88.1151809692383,243.75,False
772,-88.1151809692383,245.0,False
773,-88.1151809692383,246.25,False
774,-88.1151809692383,247.5,False
775,-88.1151809692383,248.75,False
776,-88.1151809692383,250.0,False
777,-88.1151809692383,251.25,False
778,-88.1151809692383,252.5,False
779,-88.1151809692383,253.75,False
780,-88.1151809692383,255.0,False
781,-88.1151809692383,256.25,False
782,-88.1151809692383,257.5,False
783,-88.1151809692383,258.75,False
784,-88.1151809692383,260.0,False
785,-88.1151809692383,261.25,False
786,-88.1151809692383,262.5,False
787,-88.1151809692383,263.75,False
788,-88.1151809692383,265.0,False
789,-88.1151809692383,266.25,False
790,-88.1151809692383,267.5,False
791,-88.1151809692383,268.75,False
792,-88.1151809692383,270.0,False
793,-88.1151809692383,271.25,False
794,-88.1151809692383,272.5,False
795,-88.1151809692383,273.75,False
796,-88.1151809692383,275.0,False
797,-88.1151809692383,276.25,False
798,-88.1151809692383,277.5,False
799,-88.1151809692383,278.75,False
800,-88.1151809692383,280.0,False
801,-88.1151809692383,281.25,False
802,-88.1151809692383,282.5,False
803,-88.1151809692383,283.75,False
804,-88.1151809692383,285.0,False
805,-88.1151809692383,286.25,False
806,-88.1151809692383,287.5,False
807,-88.1151809692383,288.75,False
808,-88.1151809692383,290.0,False
809,-88.1151809692383,291.25,False
810,-88.1151809692383,292.5,False
811,-88.1151809692383,293.75,False
812,-88.1151809692383,295.0,False
813,-88.1151809692383,296.25,False
814,-88.1151809692383,297.5,False
815,-88.1151809692383,298.75,False
816,-88.1151809692383,300.0,False
817,-88.1151809692383,301.25,False
818,-88.1151809692383,302.5,False
819,-88.1151809692383,303.75,False
820,-88.1151809692383,305.0,False
821,-88.1151809692383,306.25,False
822,-88.1151809692383,307.5,False
823,-88.1151809692383,308.75,False
824,-88.1151809692383,310.0,False
825,-88.1151809692383,311.25,False
826,-88.1151809692383,312.5,False
827,-88.1151809692383,313.75,False
828,-88.1151809692383,315.0,False
829,-88.1151809692383,316.25,False
830,-88.1151809692383,317.5,False
831,-88.1151809692383,318.75,False
832,-88.1151809692383,320.0,False
833,-88.1151809692383,321.25,False
834,-88.1151809692383,322.5,False
835,-88.1151809692383,323.75,False
836,-88.1151809692383,325.0,False
837,-88.1151809692383,326.25,False
838,-88.1151809692383,327.5,False
839,-88.1151809692383,328.75,False
840,-88.1151809692383,330.0,False
841,-88.1151809692383,331.25,False
842,-88.1151809692383,332.5,False
843,-88.1151809692383,333.75,False
844,-88.1151809692383,335.0,False
845,-88.1151809692383,336.25,False
846,-88.1151809692383,337.5,False
847,-88.1151809692383,338.75,False
848,-88.1151809692383,340.0,False
849,-88.1151809692383,341.25,False
850,-88.1151809692383,342.5,False
851,-88.1151809692383,343.75,False
852,-88.1151809692383,345.0,False
853,-88.1151809692383,346.25,False
854,-88.1151809692383,347.5,False
855,-88.1151809692383,348.75,False
856,-88.1151809692383,350.0,False
857,-88.1151809692383,351.25,False
858,-88.1151809692383,352.5,False
859,-88.1151809692383,353.75,False
860,-88.1151809692383,355.0,False
861,-88.1151809692383,356.25,False
862,-88.1151809692383,357.5,False
863,-88.1151809692383,358.75,False
864,-87.1727752685547,0.0,False
